;id;nazev;typ;adresa1;adresa2;adresa3;PSC;obec;kraj;obor_kod;obor_nazev;obor_forma;obor_delka;obor_kapacita;okres;kod_okresu_a;kod_okresu_b;nazev_ulice;cislo_popisne;Zeměpisná šířka;Zeměpisná délka;kategorie
79;13064401;Střední škola;C00;Veveří 472/30;Veveří;602 00 Brno;60200.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;290.0;Brno-město;CZ0642;40711;Veveří;472/30;49.200508;16.6009;gymnázium
80;42660505;Střední škola;C00;Táborská 1297/185;Židenice;615 00 Brno;61500.0;Brno;Jihomoravský kraj;6341M01;Ekonomika a podnikání;10;40;120.0;Brno-město;CZ0642;40711;Táborská;1297/185;49.192543;16.636176;obchodní akademie a veřejnosprávní činnost
81;60723785;Střední škola;C00;Mojmírovo náměstí 67/10;Královo Pole;612 00 Brno;61200.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;240.0;Brno-město;CZ0642;40711;Mojmírovo náměstí;67/10;49.224487;16.597678;gymnázium
82;110012488;Střední škola;C00;Řehořova 1165/5;Černovice;618 00 Brno;61800.0;Brno;Jihomoravský kraj;6341M01;Ekonomika a podnikání;10;40;52.0;Brno-město;CZ0642;40711;Řehořova;1165/5;49.18384;16.633419;obchodní akademie a veřejnosprávní činnost
83;110012461;Střední škola;C00;Lerchova 343/63;Stránice;602 00 Brno;60200.0;Brno;Jihomoravský kraj;7531M01;Předškolní a mimoškolní pedagogika;10;40;124.0;Brno-město;CZ0642;40711;Lerchova;343/63;49.201327;16.581007;odborné vzdělání s maturitou
84;48033413;Střední škola;C00;Labská 269/27;Starý Lískovec;625 00 Brno;62500.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;140.0;Brno-město;CZ0642;40711;Labská;269/27;49.171022;16.55956;gymnázium
85;108010015;Střední škola;C00;Dukelská třída 467/65;Husovice;614 00 Brno;61400.0;Brno;Jihomoravský kraj;4341M01;Veterinářství;10;40;125.0;Brno-město;CZ0642;40711;Dukelská třída;467/65;49.210938;16.63396;odborné vzdělání s maturitou
86;380385;Střední škola;C00;Čichnova 982/23;Komín;624 00 Brno;62400.0;Brno;Jihomoravský kraj;1820M01;Informační technologie;10;40;480.0;Brno-město;CZ0642;40711;Čichnova;982/23;49.2144;16.561454;informační technologie
87;559466;Střední škola;C00;Kudelova 1855/8;Černá Pole;662 51 Brno;66251.0;Brno;Jihomoravský kraj;3646M01;Geodézie a katastr nemovitostí;10;40;120.0;Brno-město;CZ0642;40711;Kudelova;1855/8;49.201642;16.612647;odborné vzdělání s maturitou
88;44012667;Střední škola;C00;Střední 552/59;Ponava;602 00 Brno;60200.0;Brno;Jihomoravský kraj;6341M02;Obchodní akademie;10;40;590.0;Brno-město;CZ0642;40711;Střední;552/59;49.212463;16.604844;obchodní akademie a veřejnosprávní činnost
89;60555211;Střední škola;C00;Vejrostova 1143/2;Bystrc;635 00 Brno;63500.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;260.0;Brno-město;CZ0642;40711;Vejrostova;1143/2;49.219243;16.514243;gymnázium
90;44991517;Střední škola;C00;Bosonožská 381/9;Starý Lískovec;625 00 Brno;62500.0;Brno;Jihomoravský kraj;6341M02;Obchodní akademie;10;40;150.0;Brno-město;CZ0642;40711;Bosonožská;381/9;49.165784;16.555064;obchodní akademie a veřejnosprávní činnost
91;46315284;Střední škola;C00;Mendlovo náměstí 1/4;Staré Brno;603 00 Brno;60300.0;Brno;Jihomoravský kraj;7531M01;Předškolní a mimoškolní pedagogika;10;40;250.0;Brno-město;CZ0642;40711;Mendlovo náměstí;1/4;49.191238;16.596318;odborné vzdělání s maturitou
92;226467;Střední škola;C00;Šmahova 364/110;Slatina;627 00 Brno;62700.0;Brno;Jihomoravský kraj;3441M01;Polygrafie;10;40;136.0;Brno-město;CZ0642;40711;Šmahova;364/110;49.171408;16.683871;odborné vzdělání s maturitou
93;62157264;Střední škola;C00;Vranovská 1364/65;Husovice;614 00 Brno;61400.0;Brno;Jihomoravský kraj;2844M01;Aplikovaná chemie;10;40;500.0;Brno-město;CZ0642;40711;Vranovská;1364/65;49.209358;16.628015;odborné vzdělání s maturitou
94;559415;Střední škola;C00;Sokolská 366/1;Veveří;602 00 Brno;60200.0;Brno;Jihomoravský kraj;2341M01;Strojírenství;10;40;920.0;Brno-město;CZ0642;40711;Sokolská;366/1;49.203338;16.59853;odborné vzdělání s maturitou
95;566756;Střední škola;C00;Husova 537/10;Brno-město;602 00 Brno;60200.0;Brno;Jihomoravský kraj;8241M01;Užitá malba;10;40;45.0;Brno-město;CZ0642;40711;Husova;537/10;49.193543;16.605026;odborné vzdělání s maturitou
96;40454525;Střední škola;C00;Mendlovo náměstí 1/3;Staré Brno;603 00 Brno;60300.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;340.0;Brno-město;CZ0642;40711;Mendlovo náměstí;1/3;49.191247;16.595904;gymnázium
97;102191573;Střední škola;C00;U Školy 39;664 84 Zastávka;664 84 Zastávka;66484.0;Zastávka;Jihomoravský kraj;7941K41;Gymnázium;10;40;196.0;Brno-venkov;CZ0643;40720;U Školy;39;49.193474;16.361982;gymnázium
