,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
6847,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,15034569,Svitavy,49.758426,16.476887,29.81115350355646
6849,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,401048,Polička,49.712635,16.267944,14.445963436329627
6862,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,110010205,Svitavy,49.753343,16.472646,29.275805987101187
6867,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,110100859,Skuteč,49.840165,15.993545,24.907944742698184
7186,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,108027457,Žďár nad Sázavou,49.567574,15.933153,14.708190378964629
7188,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,102943494,Nové Město na Moravě,49.563758,16.072654,7.914737300552663
7189,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,102943516,Žďár nad Sázavou,49.565058,15.944092,14.1585452603283
7190,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,102943559,Žďár nad Sázavou,49.565627,15.943057,14.190743362757008
7191,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,102943486,Bystřice nad Pernštejnem,49.517715,16.258234,16.282726049170233
7192,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,110026179,Žďár nad Sázavou,49.566429,15.93214,14.832929424050036
7194,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,110031334,Žďár nad Sázavou,49.557691,15.939988,14.841516645795755
7981,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,108047741,Jihlava,49.397998,15.585825,28.335490348346678
7983,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,108047920,Jihlava,49.397335,15.583685,28.50399660462477
7984,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,108047792,Jihlava,49.398965,15.586577,28.255753683000815
7985,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,108047938,Jihlava,49.39907,15.590673,27.96592518875969
7986,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,44065663,Třebíč,49.213896,15.885973,28.169731279578485
7988,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,559237,Třebíč,49.213958,15.88156,28.2298121810218
7989,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,566900,Třebíč,49.222974,15.867134,27.5023440770268
7991,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,108027457,Žďár nad Sázavou,49.567574,15.933153,11.971602708773586
7992,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,102943508,Velké Meziříčí,49.351674,16.020545,12.899252355510825
7993,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,102943494,Nové Město na Moravě,49.563758,16.072654,13.729302340957325
7994,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,102943516,Žďár nad Sázavou,49.565058,15.944092,11.567393186165154
7995,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,102943559,Žďár nad Sázavou,49.565627,15.943057,11.640102484334431
