,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
5180,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,848794,Šternberk,49.729516,17.300844,15.534427649047625
5181,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,601748,Olomouc,49.594679,17.264321,18.868981659663948
5182,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,14585235,Olomouc,49.60505,17.280097,18.869723327323324
5183,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,61942839,Olomouc,49.590318,17.249762,18.54078676942425
5184,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,601730,Uničov,49.77055,17.119499,6.26600385024598
5185,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,848875,Litovel,49.702046,17.073942,2.025325554577202
5186,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,601721,Olomouc,49.5942,17.246044,18.037489999037785
5187,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,601772,Litovel,49.701796,17.080931,1.905458549413546
5188,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,602035,Olomouc,49.608658,17.26321,17.705541861811326
5189,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,14451085,Olomouc,49.596205,17.262147,18.638020252312913
5190,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,18468012,Olomouc,49.612404,17.224986,15.51157363452981
5191,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,844012,Olomouc,49.589858,17.272323,19.654459153689317
5201,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,102692254,Mohelnice,49.774235,16.917775,13.534846083663162
5202,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,102692165,Zábřeh,49.880932,16.876928,23.437626921074912
5203,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,102692181,Šumperk,49.962258,16.977611,28.165054715260556
5204,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,102692190,Šumperk,49.966302,16.979562,28.560151391846773
5205,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,102692220,Šumperk,49.972886,16.964178,29.571661806047125
5206,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,102692262,Šumperk,49.970176,16.976002,29.04348073622387
