obec,okres
Břehov,České Budějovice
Kochánky,Mladá Boleslav
Hartmanice,České Budějovice
Velenice,Nymburk
Hrabišín,Šumperk
Horní Kněžeklady,České Budějovice
Hynčina,Šumperk
Kosořice,Mladá Boleslav
Kostelní Hlavno,Praha-východ
Javorník,Jeseník
Bečice,České Budějovice
Krásná Ves,Mladá Boleslav
Krnsko,Mladá Boleslav
Kropáčova Vrutice,Mladá Boleslav
Dobšice,České Budějovice
Ledce,Mladá Boleslav
Lhotky,Mladá Boleslav
Chlumec,Český Krumlov
Zvíkov,Český Krumlov
Srnín,Český Krumlov
Bohdalovice,Český Krumlov
Loukovec,Mladá Boleslav
Luštěnice,Mladá Boleslav
Jedlí,Šumperk
Malšín,Český Krumlov
Věžovatá Pláně,Český Krumlov
Mnichovo Hradiště,Mladá Boleslav
Němčice,Mladá Boleslav
Krajníčko,Strakonice
Nepřevázka,Mladá Boleslav
Hornosín,Strakonice
Nová Telib,Mladá Boleslav
Jeseník,Jeseník
Jestřebí,Šumperk
Obruby,Mladá Boleslav
Měkynec,Strakonice
Radějovice,Strakonice
Petkovy,Mladá Boleslav
Písková Lhota,Mladá Boleslav
Plazy,Mladá Boleslav
Mačkov,Strakonice
Němčice,Strakonice
Zahorčice,Strakonice
Předměřice nad Jizerou,Mladá Boleslav
Vacovice,Strakonice
Truskovice,Strakonice
Jindřichov,Šumperk
Milejovice,Strakonice
Přechovice,Strakonice
Krty-Hradec,Strakonice
Mnichov,Strakonice
Kamenná,Šumperk
Řepov,Mladá Boleslav
Tchořovice,Strakonice
Kocelovice,Strakonice
Semčice,Mladá Boleslav
Hlupín,Strakonice
Skalsko,Mladá Boleslav
Nebřehovice,Strakonice
Smilovice,Mladá Boleslav
Sojovice,Mladá Boleslav
Třešovice,Strakonice
Klopina,Šumperk
Úlehle,Strakonice
Strašnov,Mladá Boleslav
Strenice,Mladá Boleslav
Němětice,Strakonice
Kolšov,Šumperk
Velká Turná,Strakonice
Kváskovice,Strakonice
Sukorady,Mladá Boleslav
Slaník,Strakonice
Strunkovice nad Volyňkou,Strakonice
Přední Zborovice,Strakonice
Krašlovice,Strakonice
Kosov,Šumperk
Lom,Strakonice
Libětice,Strakonice
Řepice,Strakonice
Velké Všelisy,Mladá Boleslav
Rovná,Strakonice
Zvotoky,Strakonice
Horní Poříčí,Strakonice
Uzeničky,Strakonice
Chobot,Strakonice
Pohorovice,Strakonice
Štěchovice,Strakonice
Všejany,Mladá Boleslav
Kalenice,Strakonice
Krejnice,Strakonice
Nišovice,Strakonice
Žďár,Mladá Boleslav
Žerčice,Mladá Boleslav
Židněves,Mladá Boleslav
Nymburk,Nymburk
Běrunice,Nymburk
Bobnice,Nymburk
Bříství,Nymburk
Budiměřice,Nymburk
Bratronice,Strakonice
Lipovice,Prachatice
Činěves,Nymburk
Dlouhopolsko,Nymburk
Dobšice,Nymburk
Dvory,Nymburk
Dymokury,Nymburk
Kratušín,Prachatice
Dvory,Prachatice
Hořátev,Nymburk
Hradčany,Nymburk
Hradištko,Nymburk
Drslavice,Prachatice
Zábrdí,Prachatice
Žernovice,Prachatice
Choťánky,Nymburk
Chotěšice,Nymburk
Chrást,Nymburk
Babice,Prachatice
Jíkev,Nymburk
Jizbice,Nymburk
Kamenné Zboží,Nymburk
Lesnice,Šumperk
Kněžice,Nymburk
Kolaje,Nymburk
Kostelní Lhota,Nymburk
Lužice,Prachatice
Kostomlaty nad Labem,Nymburk
Košík,Nymburk
Kounice,Nymburk
Olšovice,Prachatice
Kovanice,Nymburk
Mahouš,Prachatice
Krchleby,Nymburk
Křečkov,Nymburk
Křinec,Nymburk
Chvalovice,Prachatice
Libice nad Cidlinou,Nymburk
Loučeň,Nymburk
Lysá nad Labem,Nymburk
Mcely,Nymburk
Městec Králové,Nymburk
Milčice,Nymburk
Milovice,Nymburk
Buk,Prachatice
Bohunice,Prachatice
Újezdec,Prachatice
Pěčnov,Prachatice
Odřepsy,Nymburk
Okřínek,Nymburk
